gsr_max,gsr_min,min_ra,max_ra,gsr_mean,gsr_sd,gsr_var,ecg_avg,ecg_median,ecg_sd,fear,angry,happy,sad,class
9.65,7.5,0.777,1.287,8.396,0.569,0.323,0.930027891,0.8232965,0.479210017,3,2,1,2,3
10.04,6.91,0.688,1.453,7.763,0.653,0.426,3.542570033,0.950501,8.880390715,1,1,1,5,1
11.11,7.3,0.657,1.522,8.502,0.862,0.743,0.905499592,0.8234305,0.307659685,1,1,4,1,0
9.45,7.89,0.835,1.198,8.925,0.415,0.172,0.893933889,0.80899,0.460317919,2,2,1,4,1
11.7,7.6,0.65,1.539,9.147,1.205,1.453,0.888475681,0.7946955,0.325274902,2,5,1,2,2
9.55,7.89,0.826,1.21,8.411,0.406,0.165,0.077918688,0.044682,0.136907463,2,4,1,4,2
10.33,8.28,0.802,1.248,8.911,0.375,0.141,0.348636128,0.13928,3.236177435,4,1,1,1,3
13.66,7.89,0.578,1.731,9.912,1.654,2.737,0.112752855,0.139253,0.047821368,2,5,1,2,2
9.94,8.28,0.833,1.2,8.658,0.338,0.115,0.139960252,0.139295,0.061334842,2,5,1,3,2
10.33,8.67,0.839,1.191,9.146,0.434,0.189,0.131578792,0.139277,0.059602959,2,2,1,4,1
10.43,8.28,0.794,1.26,9.12,0.471,0.221,0.525779618,0.139604,0.59617864,1,1,4,3,0
10.63,8.67,0.816,1.226,9.412,0.319,0.102,0.060686435,0.044749,0.02781406,5,2,1,3,3
10.43,8.28,0.794,1.26,8.773,0.398,0.158,0.353476712,0.053468,1.039796508,1,2,1,5,1
11.6,8.87,0.765,1.308,9.844,0.727,0.528,0.052149333,0.044466,0.019262868,2,5,1,1,2
10.63,8.28,0.779,1.284,8.977,0.472,0.223,1.095036775,0.8234105,0.962986176,2,2,1,5,1
10.53,8.38,0.796,1.257,8.989,0.499,0.249,5.415724432,0.1392855,14.96942453,1,1,4,1,0
11.99,9.06,0.756,1.323,10.021,0.503,0.253,1.240818829,0.725197,3.234726464,1,1,5,1,0
13.46,9.65,0.717,1.395,10.496,0.649,0.421,3.903686667,0.776133,16.35275172,3,4,1,4,1
9.65,7.99,0.828,1.208,8.826,0.461,0.213,0.755152051,0.782392,0.64475501,5,2,1,4,3
10.04,6.91,0.688,1.453,8.154,0.68,0.463,0.912103581,0.8358,0.637324588,1,1,1,5,1
11.11,8.28,0.745,1.342,9.271,0.46,0.212,0.963137719,0.8110235,0.636003152,1,1,5,1,0
9.45,9.06,0.959,1.043,9.239,0.124,0.015,0.8026999,0.852022,0.421316296,5,1,1,5,1
11.7,8.77,0.75,1.334,10.211,0.718,0.516,0.982861913,0.810898,0.695877514,1,5,1,3,2
12.48,9.06,0.726,1.377,10.364,0.698,0.488,0.918400968,0.8234145,0.611180011,2,4,1,4,2
14.73,9.65,0.655,1.526,11.664,1.027,1.054,0.873040134,0.835911,0.616045685,5,1,1,4,3
13.66,10.53,0.771,1.297,11.575,0.688,0.473,1.068451656,0.8583975,0.693700765,1,5,1,3,2
13.66,11.51,0.843,1.187,12.345,0.571,0.325,1.306944271,0.831579,1.154172531,1,5,1,3,2
14.63,11.9,0.813,1.229,12.648,0.608,0.369,1.162293573,0.851706,0.757723615,4,1,1,5,1
14.24,11.02,0.774,1.292,12.021,0.843,0.711,1.114544933,0.8644875,0.761097484,1,1,4,1,0
15.12,10.43,0.69,1.45,11.81,0.986,0.971,0.853811058,0.753604,0.878116376,5,1,1,4,3
16.3,11.7,0.718,1.393,13.079,1.109,1.23,1.130417975,0.76617,1.034590307,1,1,1,5,1
14.83,11.31,0.763,1.311,12.635,0.917,0.841,1.336552827,0.823492,1.209979561,1,5,1,2,2
15.22,11.9,0.782,1.279,13.149,0.773,0.598,1.367593506,0.810988,1.257022108,1,1,1,4,1
16.1,12.29,0.763,1.31,13.339,0.815,0.665,0.930781503,0.769875,0.979169198,1,2,1,2,0
15.22,12.48,0.82,1.22,13.304,0.593,0.351,0.931945676,0.7394175,1.166707859,1,1,5,1,0
13.07,11.41,0.873,1.145,12.114,0.365,0.133,1.156536442,0.8233865,0.907463075,1,4,1,4,1
9.75,7.5,0.769,1.3,8.519,0.577,0.333,0.906697712,0.8171885,0.270301777,3,1,1,4,3
10.04,6.91,0.688,1.453,7.833,0.553,0.306,0.865414592,0.7949235,0.282494876,1,1,1,5,1
11.11,7.3,0.657,1.522,8.473,0.733,0.537,0.856870394,0.766111,0.296153742,1,1,5,1,0
9.84,7.89,0.802,1.247,9.042,0.426,0.182,0.994922938,0.8008025,0.377040351,4,1,1,4,1
11.7,7.6,0.65,1.539,8.978,1.022,1.045,0.92840307,0.7824005,0.478111636,1,5,1,1,2
9.94,8.57,0.862,1.16,9.042,0.373,0.139,0.959123239,0.852086,0.328912299,1,5,1,5,2
11.6,8.77,0.756,1.323,9.707,0.541,0.293,0.920940799,0.8645515,0.294434272,5,1,1,5,3
13.66,7.89,0.578,1.731,9.69,1.379,1.902,0.928403851,0.868311,0.257357232,1,5,1,5,2
10.14,9.06,0.893,1.119,9.437,0.319,0.101,0.869702122,0.753722,0.332850923,1,5,1,5,2
12.39,9.26,0.747,1.338,10.017,0.536,0.287,1.040199084,0.905545,0.396499078,5,1,1,4,1
10.72,8.87,0.827,1.209,9.437,0.485,0.235,1.043677695,0.880652,0.475419911,1,1,4,1,0
11.41,9.06,0.794,1.259,9.905,0.584,0.341,1.282365163,0.991322,0.804353215,5,1,1,3,3
11.7,8.96,0.766,1.306,9.758,0.536,0.287,1.331536549,0.934149,0.873166036,1,1,1,5,1
11.99,8.96,0.747,1.338,9.703,0.666,0.444,1.389988974,0.9564745,0.795668545,1,5,1,1,2
11.21,9.16,0.817,1.224,9.843,0.493,0.243,1.230000427,0.9278485,0.683420924,1,1,1,5,1
10.82,8.96,0.828,1.208,9.58,0.389,0.151,1.102818557,0.933991,0.622236592,1,1,5,1,0
11.7,9.26,0.791,1.263,10.144,0.646,0.417,1.065262022,0.8089165,0.692223006,1,1,5,1,0
6.32,5.35,0.847,1.181,5.913,0.26,0.068,0.89486594,0.823436,0.335510117,3,1,3,3,3
8.96,5.74,0.641,1.561,7.018,0.711,0.505,0.817660447,0.782411,0.337564408,1,1,2,3,1
9.16,6.72,0.734,1.363,7.68,0.592,0.35,0.879192525,0.794739,0.418566184,1,1,4,2,0
9.35,8.18,0.875,1.143,8.661,0.384,0.147,0.795601421,0.766236,0.453026229,4,2,1,5,1
11.7,7.4,0.632,1.581,8.83,0.982,0.965,0.853022435,0.788703,0.412670394,3,3,1,4,2
10.33,7.2,0.697,1.435,8.119,0.558,0.312,0.88995821,0.794849,0.399808461,3,4,1,4,2
11.31,7.79,0.689,1.452,9.082,0.687,0.472,0.839028083,0.7784945,0.452973162,4,2,1,3,3
12.58,7.99,0.635,1.574,9.942,0.774,0.599,0.918660641,0.823366,0.439334193,1,3,1,4,2
12.39,9.26,0.747,1.338,10.452,0.711,0.505,0.917425659,0.774181,0.488283677,1,3,1,3,2
11.51,8.28,0.719,1.39,9.367,0.635,0.403,0.895726807,0.7948105,0.447134611,4,1,3,4,1
11.9,7.99,0.671,1.489,9.055,0.965,0.932,0.882388883,0.778582,0.494177436,1,1,4,4,0
13.46,8.57,0.637,1.571,10.086,0.862,0.743,0.883673416,0.794753,0.477088061,3,1,1,4,3
12.97,9.06,0.699,1.432,10.275,0.703,0.495,0.830490369,0.8076335,0.348139253,3,1,1,5,1
12.58,9.06,0.72,1.389,9.9,0.728,0.529,0.922318693,0.766103,0.486819363,3,3,1,4,2
13.07,8.87,0.679,1.474,10.691,0.94,0.883,0.861940287,0.8071135,0.372624077,3,1,1,5,1
13.75,8.38,0.609,1.641,9.612,0.922,0.849,0.83017489,0.79472,0.366814595,1,1,3,1,0
15.71,9.55,0.608,1.645,11.236,1.171,1.371,0.718671689,0.782577,0.390491288,1,1,5,1,0
16,8.08,0.505,1.98,10.147,1.396,1.948,0.762601936,0.810898,0.364648041,3,4,1,4,1
3.29,2.51,0.763,1.311,2.798,0.191,0.036,0.930027891,0.8232965,0.479210017,4,1,1,5,3
4.08,2.71,0.664,1.506,3.229,0.366,0.134,3.542570033,0.950501,8.880390715,1,1,3,5,1
6.03,3.78,0.627,1.595,4.545,0.554,0.307,0.905499592,0.8234305,0.307659685,1,1,5,1,0
5.64,4.86,0.862,1.16,5.137,0.228,0.052,0.8026999,0.852022,0.421316296,5,1,2,5,1
6.32,4.27,0.676,1.48,5.043,0.483,0.233,0.982861913,0.810898,0.695877514,1,4,1,1,2
7.11,4.66,0.655,1.526,5.434,0.508,0.258,0.918400968,0.8234145,0.611180011,1,5,1,4,2
7.79,4.96,0.637,1.571,6.484,0.47,0.221,0.920940799,0.8645515,0.294434272,4,1,1,4,3
8.08,5.93,0.734,1.363,6.804,0.434,0.188,0.928403851,0.868311,0.257357232,1,2,1,1,2
7.69,6.32,0.822,1.217,6.747,0.331,0.11,0.869702122,0.753722,0.332850923,1,4,1,1,2
8.77,6.42,0.732,1.366,7.156,0.532,0.283,2.109510521,1.577193,1.910298245,1,1,2,1,1
8.38,6.23,0.743,1.345,7.169,0.574,0.33,2.406636175,1.703938,2.193645195,1,1,4,1,0
9.06,6.32,0.698,1.434,7.093,0.592,0.35,2.023387738,1.621917,1.833677697,3,1,1,4,3
9.06,6.03,0.666,1.502,7.019,0.606,0.367,0.830490369,0.8076335,0.348139253,1,1,1,4,1
8.57,6.32,0.737,1.356,7.283,0.642,0.413,0.922318693,0.766103,0.486819363,1,2,3,1,2
9.45,6.72,0.711,1.406,7.609,0.523,0.274,0.861940287,0.8071135,0.372624077,1,1,1,5,1
9.35,6.91,0.739,1.353,7.853,0.436,0.19,0.761843112,0.798544,0.323994097,1,1,1,1,0
9.16,7.11,0.776,1.288,7.873,0.384,0.147,0.763611577,0.8111,0.237660176,1,1,5,1,0
10.04,7.01,0.698,1.432,7.842,0.56,0.313,0.798646762,0.8645385,0.249654655,1,4,1,2,1
10.33,3.1,0.3,3.332,7.534,2.187,4.782,0.847836,0.7699875,0.46422776,1,1,1,2,3
10.72,2.61,0.243,4.107,7.135,2.191,4.802,0.731922496,0.782262,0.353630268,1,1,2,4,1
15.22,2.51,0.165,6.064,7.604,2.568,6.593,0.734343173,0.778459,0.278807035,1,1,4,2,0
15.81,2.71,0.171,5.834,9.69,2.469,6.096,0.7414495,0.745756,0.227440745,4,1,1,1,1
14.54,2.9,0.199,5.014,8.075,2.716,7.376,0.684476649,0.7823665,0.306485356,1,5,1,2,2
16.49,11.31,0.686,1.458,13.745,1.085,1.176,0.724011889,0.810973,0.292138605,4,5,1,1,2
15.02,9.84,0.655,1.526,11.434,0.964,0.928,0.782449563,0.8110385,0.298380383,5,1,1,1,3
14.63,3.49,0.239,4.192,8.463,2.824,7.976,0.804772121,0.88038,0.325958953,2,3,1,2,2
16.98,10.43,0.614,1.628,12.74,1.229,1.511,0.784332709,0.852293,0.309268103,2,5,1,2,2
15.61,8.28,0.53,1.885,10.682,1.759,3.095,0.753630537,0.837756,0.291634226,5,1,1,5,1
18.05,12.39,0.686,1.457,14.863,0.952,0.907,0.790742763,0.880519,0.308397657,1,1,3,1,0
15.61,7.89,0.505,1.978,10.625,1.691,2.861,0.731236076,0.858254,0.311577708,5,1,1,2,3
20.69,9.94,0.48,2.081,13.39,2.203,4.853,0.75979719,0.864336,0.295040018,1,1,1,5,1
15.22,9.35,0.614,1.628,12.042,1.232,1.517,0.771069863,0.880521,0.283045691,1,5,1,1,2
15.32,6.81,0.445,2.25,9.615,1.771,3.136,0.784975031,0.8233535,0.389532198,1,2,1,5,1
11.11,8.28,0.745,1.342,9.271,0.46,0.212,0.963137719,0.8110235,0.636003152,1,1,5,1,0
9.45,9.06,0.959,1.043,9.239,0.124,0.015,0.8026999,0.852022,0.421316296,5,1,1,5,1
11.7,8.77,0.75,1.334,10.211,0.718,0.516,0.982861913,0.810898,0.695877514,1,5,1,3,2
12.48,9.06,0.726,1.377,10.364,0.698,0.488,0.918400968,0.8234145,0.611180011,2,4,1,4,2
14.73,9.65,0.655,1.526,11.664,1.027,1.054,0.873040134,0.835911,0.616045685,5,1,1,4,3
13.66,10.53,0.771,1.297,11.575,0.688,0.473,1.068451656,0.8583975,0.693700765,1,5,1,3,2
13.66,11.51,0.843,1.187,12.345,0.571,0.325,1.306944271,0.831579,1.154172531,1,5,1,3,2
14.63,11.9,0.813,1.229,12.648,0.608,0.369,1.162293573,0.851706,0.757723615,4,1,1,5,1
14.24,11.02,0.774,1.292,12.021,0.843,0.711,1.114544933,0.8644875,0.761097484,1,1,4,1,0
15.12,10.43,0.69,1.45,11.81,0.986,0.971,0.853811058,0.753604,0.878116376,5,1,1,4,3
16.3,11.7,0.718,1.393,13.079,1.109,1.23,1.130417975,0.76617,1.034590307,1,1,1,5,1
14.83,11.31,0.763,1.311,12.635,0.917,0.841,1.336552827,0.823492,1.209979561,1,5,1,2,2
15.22,11.9,0.782,1.279,13.149,0.773,0.598,1.367593506,0.810988,1.257022108,1,1,1,4,1
16.1,12.29,0.763,1.31,13.339,0.815,0.665,0.930781503,0.769875,0.979169198,1,2,1,2,0
15.22,12.48,0.82,1.22,13.304,0.593,0.351,0.931945676,0.7394175,1.166707859,1,1,5,1,0
13.07,11.41,0.873,1.145,12.114,0.365,0.133,1.156536442,0.8233865,0.907463075,1,4,1,4,1
9.75,7.5,0.769,1.3,8.519,0.577,0.333,0.906697712,0.8171885,0.270301777,3,1,1,4,3
10.04,6.91,0.688,1.453,7.833,0.553,0.306,0.865414592,0.7949235,0.282494876,1,1,1,5,1
11.11,7.3,0.657,1.522,8.473,0.733,0.537,0.856870394,0.766111,0.296153742,1,1,5,1,0
9.84,7.89,0.802,1.247,9.042,0.426,0.182,0.994922938,0.8008025,0.377040351,4,1,1,4,1
11.7,7.6,0.65,1.539,8.978,1.022,1.045,0.92840307,0.7824005,0.478111636,1,5,1,1,2
